Hour,Spot,FD1_down,FD2_down,FD1_up,FD2_up,FD1_up_percentage,FD2_up_percentage,FD1_down_percentage,FD2_down_percentage,FD_act_up,FD_act_down
120,93.290001,12.0,31.45929,1.94867,45.2864,0.019951230325870095,0.9800487696741299,0.1445466491458607,0.8554533508541393,0.0,0.0
121,80.769997,12.0,31.45929,1.9433,45.56684,0.019316493313521543,0.9806835066864784,0.1445466491458607,0.8554533508541393,0.0,0.0093380555555549
122,78.080002,12.0,31.45929,1.94821,45.763,0.020054887059320247,0.9799451129406798,0.1445466491458607,0.8554533508541393,0.0,0.0001397222222221
123,81.970001,12.0,31.45929,1.94796,45.94947,0.020622895622895626,0.9793771043771043,0.1445466491458607,0.8554533508541393,2.9583333333309784e-05,0.0003584027777777
124,89.309998,12.0,31.45929,1.94319,45.58868,0.01961602671118531,0.9803839732888148,0.1445466491458607,0.8554533508541393,0.0001766666666666,0.0
125,89.75,12.0,31.45929,1.943,45.73277,0.02106149957877001,0.97893850042123,0.1445466491458607,0.8554533508541393,0.0,0.0
126,97.059998,12.0,31.45929,1.94857,46.38095,0.019117647058823527,0.9808823529411764,0.1445466491458607,0.8554533508541393,0.0,0.0009038194444443
127,193.789993,12.0,31.45929,1.95393,46.10689,0.011981172443303378,0.9880188275566966,0.1445466491458607,0.8554533508541393,0.0,8.333333333313912e-07
128,228.919998,12.5,30.98784,1.95902,46.17169,0.00881151944981732,0.9911884805501826,0.12266666666666666,0.8773333333333333,0.0,6.381944444441808e-05
129,212.899994,12.5,30.98784,1.96108,46.03831,0.008061002178649237,0.9919389978213508,0.12266666666666666,0.8773333333333333,0.0,0.0
130,215.5,12.5,30.98784,1.96108,45.91026,0.008087431693989072,0.9919125683060109,0.12266666666666666,0.8773333333333333,0.0,0.0
131,231.899994,12.5,30.98784,1.96108,46.00277,0.008096280087527353,0.9919037199124727,0.12266666666666666,0.8773333333333333,0.0,0.0
132,226.0,12.5,30.98784,1.96364,45.84005,0.007177033492822966,0.992822966507177,0.12266666666666666,0.8773333333333333,0.0,1.499999999998922e-05
133,209.199997,12.5,30.98784,7.36595,45.90836,0.01839684625492773,0.9816031537450723,0.12266666666666666,0.8773333333333333,0.0,3.506944444441946e-05
134,216.059998,12.5,30.98784,6.36683,45.92343,0.022120017520805956,0.9778799824791939,0.12266666666666666,0.8773333333333333,0.0,0.0
135,230.770004,12.5,30.98784,60.1,45.72247,0.07451873318153591,0.9254812668184641,0.12266666666666666,0.8773333333333333,3.055555555548928e-06,0.0
136,245.949997,12.5,30.98784,66.8054,45.86771,0.1413292589763178,0.8586707410236822,0.12266666666666666,0.8773333333333333,0.0,0.0
137,274.109985,12.5,30.98784,70.02226,46.0997,0.24189189189189186,0.7581081081081081,0.12266666666666666,0.8773333333333333,1.958333333332618e-05,0.0
138,273.440002,12.5,30.98784,47.08011,46.70712,0.15236486486486486,0.8476351351351351,0.12266666666666666,0.8773333333333333,0.0,0.0
139,240.020004,12.5,30.98784,57.3125,46.74429,0.015661707126076743,0.9843382928739233,0.12266666666666666,0.8773333333333333,0.0,1.222222222220706e-05
140,217.910004,12.5,30.98784,0.0,47.01314,0.0,1.0,0.12266666666666666,0.8773333333333333,0.0,0.0
141,203.309998,12.5,30.98784,2.91,46.84297,0.00020755500207555002,0.9997924449979244,0.12266666666666666,0.8773333333333333,2.2222222222170437e-06,0.0
142,171.309998,12.5,30.98784,2.62,46.51642,0.0004278074866310161,0.999572192513369,0.12266666666666666,0.8773333333333333,0.0167904166666659,0.0
143,124.699997,12.5,30.98784,1.94492,46.37156,0.013582720997550656,0.9864172790024492,0.12266666666666666,0.8773333333333333,0.0,0.0
144,128.919998,28.54545,28.89844,4.21737,42.62515,0.0084726867335563,0.9915273132664437,0.14666666666666667,0.8533333333333334,0.0001156249999999,0.0003731944444444
145,116.650002,28.54545,28.89844,5.0,42.60452,0.006233303650934995,0.993766696349065,0.14666666666666667,0.8533333333333334,0.0,0.0002809722222221
146,100.540001,28.54545,28.89844,5.0,42.63796,0.006240249609984399,0.9937597503900156,0.14666666666666667,0.8533333333333334,0.0035817361111106,0.0
147,99.470001,28.54545,28.89844,5.0,42.82157,0.006247211066488174,0.9937527889335118,0.14666666666666667,0.8533333333333334,0.000665486111111,0.0
148,101.739998,28.54545,28.89844,6.56522,42.96865,0.010277033065236817,0.9897229669347631,0.14666666666666667,0.8533333333333334,0.0036247222222216,0.0
149,114.989998,28.54545,28.89844,0.0,42.63187,0.0,1.0,0.14666666666666667,0.8533333333333334,0.0,0.0
150,140.190002,28.54545,28.89844,0.0,43.70584,0.0,1.0,0.14666666666666667,0.8533333333333334,0.0,0.0103618055555548
151,152.639999,28.54545,28.89844,2.07667,43.53661,0.001335410638771422,0.9986645893612285,0.14666666666666667,0.8533333333333334,0.0,0.0
152,160.970001,28.54545,28.89844,0.0,43.54028,0.0,1.0,0.14666666666666667,0.8533333333333334,0.0,7.819444444442159e-05
153,161.850006,28.54545,28.89844,6.94583,43.20414,0.002680965147453083,0.9973190348525469,0.14666666666666667,0.8533333333333334,0.0,0.0
154,161.369995,28.54545,28.89844,2.4,43.18754,0.0006672597864768682,0.9993327402135231,0.14666666666666667,0.8533333333333334,0.0,0.0
155,166.059998,28.54545,28.89844,9.0,43.35671,0.0008934554389099845,0.99910654456109,0.14666666666666667,0.8533333333333334,0.0,0.0
156,166.539993,28.54545,28.89844,0.0,44.15356,0.0,1.0,0.14666666666666667,0.8533333333333334,0.0,0.0
157,165.970001,28.54545,28.89844,0.0,43.77011,0.0,1.0,0.14666666666666667,0.8533333333333334,0.0,0.0
158,165.360001,28.54545,28.89844,0.0,43.83102,0.0,1.0,0.14666666666666667,0.8533333333333334,0.0,0.0
159,185.149994,28.54545,28.89844,20.0363,44.36455,0.043878982167902224,0.9561210178320978,0.14666666666666667,0.8533333333333334,0.0,0.0
160,201.559998,28.54545,28.89844,34.45516,44.18726,0.1301556420233463,0.8698443579766537,0.14666666666666667,0.8533333333333334,0.0,0.0
161,243.110001,28.54545,28.89844,64.05554,44.0047,0.24780405405405403,0.752195945945946,0.14666666666666667,0.8533333333333334,0.0,0.0
162,247.720001,28.54545,28.89844,79.7355,44.3987,0.2387706855791962,0.7612293144208038,0.14666666666666667,0.8533333333333334,0.0,0.0
163,187.5,28.54545,28.89844,75.57952,44.44139,0.23817567567567569,0.7618243243243243,0.14666666666666667,0.8533333333333334,0.0,6.277777777775581e-05
164,160.5,28.54545,28.89844,8.15361,44.30447,0.03446019629225736,0.9655398037077426,0.14666666666666667,0.8533333333333334,0.0,0.0
165,157.949997,28.54545,28.89844,1.97171,44.23408,0.007415254237288136,0.9925847457627118,0.14666666666666667,0.8533333333333334,0.0,0.0
166,153.899994,28.54545,28.89844,1.97111,44.14367,0.007623888182973316,0.9923761118170267,0.14666666666666667,0.8533333333333334,0.0,0.0
167,144.759995,28.54545,28.89844,1.9635,43.87134,0.004248990864669641,0.9957510091353303,0.14666666666666667,0.8533333333333334,0.0,0.0
168,153.029999,54.125,25.64892,1.95952,41.80159,0.017592200084781687,0.9824077999152183,0.21024967148488832,0.7897503285151117,0.0,0.0
169,146.080002,54.125,25.64892,1.95375,41.85591,0.016999575010624733,0.9830004249893752,0.21024967148488832,0.7897503285151117,0.0003442465277777,0.0
170,144.639999,54.125,25.64892,1.95988,41.85808,0.016995963458678563,0.9830040365413214,0.21024967148488832,0.7897503285151117,0.0,0.0022463194444442
