Spot,FD1_down,FD2_down,FD1_up,FD2_up,FD1_up_percentage,FD2_up_percentage,FD1_down_percentage,FD2_down_percentage,FD_act_up,FD_act_down
46.599998,42.42105,33.89313,1.95478,49.18715,1,1,1,1,0.0,0.0
41.330002,42.42105,33.89313,1.95492,49.33709,1,1,1,1,0.0,0.0002819444444443
42.18,43.36842,33.89313,1.96262,49.71026,1,1,1,1,0.0,0.0
44.369999,42.42105,33.89313,1.96222,49.4594,1,1,1,1,0.0,0.0
37.669998,41.78947,33.89313,1.95644,49.52272,1,1,1,1,0.0,0.0012075694444442
39.700001,41.78947,33.89313,1.96611,54.84933,1,1,1,1,0.0,0.0
40.59,41.78947,33.89313,1.96604,55.45747,1,1,1,1,0.0,0.0
43.259998,41.78947,33.89313,1.96069,55.38097,1,1,1,1,0.0,0.009404930555555
49.66,41.78947,33.89313,1.9544,55.96408,1,1,1,1,0.0,0.0
70.050003,41.78947,33.89313,1.95481,55.65854,1,1,1,1,0.0,0.0003638194444444
76.790001,41.78947,33.89313,1.95481,55.36818,1,1,1,1,0.0001877083333332,0.0
84.099998,41.78947,33.89313,1.95399,55.42343,1,1,1,1,7.361111111104811e-06,0.0
94.739998,41.78947,33.89313,1.95401,55.25445,1,1,1,1,0.0,0.0
96.800003,41.78947,33.89313,1.95407,55.19267,1,1,1,1,0.0,0.0
97.169998,41.78947,33.89313,1.95414,55.19909,1,1,1,1,0.0003074999999999,6.229166666663646e-05
101.269997,41.78947,33.89313,52.4626,55.91946,1,1,1,1,0.0019250694444441,0.0
126.599998,41.78947,33.89313,58.25533,56.15697,1,1,1,1,0.0001421527777777,0.0
149.970001,41.78947,33.89313,64.36613,55.9905,1,1,1,1,0.0,0.0
146.330002,41.78947,33.89313,61.65045,56.60685,1,1,1,1,5.055555555553445e-05,0.0
140.279999,41.78947,33.89313,59.68651,56.49552,1,1,1,1,0.0,0.0003279166666665
121.879997,41.78947,33.89313,50.53648,56.48633,1,1,1,1,0.0,0.0002316666666666
102.610001,41.78947,33.89313,45.18167,55.91448,1,1,1,1,0.0,0.004478194444444
95.120003,41.78947,33.89313,1.95579,50.44731,1,1,1,1,0.0,1.0833333333329796e-05
83.110001,41.78947,33.89313,1.96351,50.55962,1,1,1,1,0.0,0.0017571325287801
34.73,33.5,40.0,1.96162,49.82296,1,1,1,1,0.0,0.0001843749999999
34.389999,33.5,40.0,1.9525,50.00125,1,1,1,1,0.0328824305555545,0.0
34.360001,33.5,40.0,1.96179,50.0365,1,1,1,1,0.003593055555555,0.0
34.099998,34.23077,40.16103,1.96179,50.24763,1,1,1,1,0.0,0.0
29.559999,34.23077,40.16103,1.95411,50.22116,1,1,1,1,0.0,0.0026434027777773
33.970001,34.23077,40.16103,1.9538,50.64763,1,1,1,1,0.0,0.0006157638888887
34.52,33.46154,40.16103,1.95503,51.57803,1,1,1,1,0.0005074999999999,0.0005622222222221
41.799999,36.53846,40.16103,1.96317,50.1319,1,1,1,1,0.0010849999999997,0.0
48.950001,36.53846,40.16103,1.95552,55.81501,1,1,1,1,0.0001707638888888,0.0
60.009998,32.5,40.0,1.95585,55.98564,1,1,1,1,0.0,0.0
70.089996,32.5,40.0,1.95648,55.89209,1,1,1,1,7.277777777774485e-05,0.0
66.260002,32.5,40.0,1.95868,55.92268,1,1,1,1,6.923611111105979e-05,0.0
64.540001,32.5,40.0,1.95859,56.90745,1,1,1,1,0.0,0.0
46.959999,32.5,40.0,1.9556,56.78389,1,1,1,1,1.5763888888875342e-05,0.0
49.060001,32.5,40.0,1.95898,56.82226,1,1,1,1,0.008184791666666,0.0
74.989998,33.0,40.0,44.68591,57.08729,1,1,1,1,0.0008927083333331,0.0
88.150002,33.0,40.0,58.02697,57.11244,1,1,1,1,0.0,0.0001127083333332
95.400002,33.0,40.0,59.4735,56.79389,1,1,1,1,0.0,0.0
86.709999,33.5,40.0,58.85652,56.65292,1,1,1,1,0.0,0.0
71.269997,33.5,40.0,55.35286,57.20089,1,1,1,1,0.0,0.0002654166666665
54.119999,33.5,40.0,25.71458,57.9768,1,1,1,1,0.0,0.0006611111111109
46.16,33.5,40.0,1.95712,57.58873,1,1,1,1,0.0,0.0
46.290001,33.5,40.0,1.9579,52.69442,1,1,1,1,9.027777777756738e-07,0.0003066666666665
32.93,33.5,40.0,0.0,52.6539,1,1,1,1,0.0015897222222219,0.0003220138888887
13.2,48.33333,38.89256,1.95675,49.90748,1,1,1,1,0.0,0.0026229861111106
19.92,48.33333,38.89256,1.9525,50.43817,1,1,1,1,0.0,0.0004483333333332
19.870001,48.33333,38.89256,1.95523,50.45958,1,1,1,1,0.0,0.0
13.24,48.33333,38.89256,1.95523,49.79333,1,1,1,1,0.0003590972222221,4.923611111109752e-05
13.29,48.33333,38.89256,1.95217,50.05283,1,1,1,1,0.0010326388888886,0.0
9.24,48.33333,38.89256,1.95252,49.99252,1,1,1,1,8.055555555551092e-06,0.0
37.549999,37.66667,38.89256,1.95814,51.44429,1,1,1,1,5.69444444443364e-06,4.166666666656956e-07
88.760002,37.66667,38.89256,1.95506,51.34926,1,1,1,1,0.0,0.0004104166666666
