Date,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31
11,9.846736111109619e-05,0.0007612749999998755,0.004615196527777344,0.0,0.0,0.0,0.0,0.0,0.0027800833333330418,0.0,0.0,6.412499999996059e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.529861111104674e-06,0.0,0.0003721569444444005,0.0,0.0,0.0,0.0,0.0,0.0,0.0006720319444443742,0.0,0.0,0.0,0.0,9.236111110983498e-08,0.0,0.0,5.49999999999409e-07,0.0,0.0,0.00046973472222217066,0.0,0.0004244138888888014,0.0,0.0,0.0003120673611110572,0.0,0.00017115138888887098,0.0,0.0,0.0,0.0,0.0,0.0,0.016278354166666023,0.0,0.0,0.0,5.631736111110156e-05,0.0,0.0,0.0002042909722221954,0.0005321284722221753,0.0,0.0,0.0,7.637708333332326e-05,0.0,0.0,0.0,0.0,0.0
12,0.0,0.000711455555555475,1.5979166666641514e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2686805555549204e-05,7.248958333331403e-05,4.615624999998976e-05,0.0,0.0,0.00021034583333330058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005126982638888337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031413819444438664,0.0,0.0,0.0,0.0,0.0,8.72020833333235e-05,0.0,3.8194444444232074e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.199999999995799e-06,0.0,0.0,2.3940277777773447e-05,0.0,1.8412499999983883e-05,0.00010305416666664612,0.004302413194444112,0.0,0.0,0.0007462708333332503,0.0,0.0,0.0,0.0,0.000146755555555539,7.659722222211032e-07,9.565277777771422e-06,0.003906681944444107,0.00361031458333314,0.0,0.00010982847222220599,0.0,0.0,0.001791860416666478,0.0,0.0,0.0,0.0,6.0541666666659785e-05,0.0,0.0,0.0,0.0,1.072708333332173e-05
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.113263888886595e-05,6.971805555552596e-05,0.0,5.937499999984928e-07,3.7758333333316095e-05,0.0,0.0013186256944443338,0.0027898201388887075,0.0,0.0,3.4374999999858206e-07,0.0,0.0,0.0,0.0,0.0,7.591666666660026e-06,0.00017962152777774244,0.0,0.0,0.0,0.0001872590277777464,0.0,0.0,0.0,7.708333333307967e-07,0.0,0.00895819861111059,0.0,0.0,0.0,4.7940277777750575e-05,0.0,3.968888888888195e-05,0.0001526993055555333,0.0,0.0,3.323124999999156e-05,0.0,5.035416666663295e-06,0.00344884652777743,0.0,0.0,8.020833333323276e-07,0.0,0.0,0.00015612916666662486,5.502777777775365e-05,0.0,0.0,0.0004207083333332958,0.0,2.723402777776496e-05,0.00014543958333330614,0.0,0.0,3.985208333331701e-05,0.0,0.002262865972222026,0.0,7.843055555553214e-05,8.147916666659938e-06,0.0002251784722221818,0.0,0.0014617159722220652,0.00014045347222220764,0.0,1.6591666666662735e-05,0.0,0.0005313472222221691,4.6666666666577643e-07,0.0,0.0,0.0,0.0,0.0,0.007275887499999559,0.0031818104166664177,0.0,1.8386111111103885e-05,5.586736111110133e-05
14,2.2159722222190066e-06,0.0,0.0,0.0,2.9736111111110396e-06,0.0,0.0,0.0,3.627847222221191e-05,0.010976067361110352,0.0005411055555554819,0.00011450138888884255,9.775416666665481e-05,0.0001324111111110968,0.0,0.0,0.0002879749999999544,0.0,0.0007854548611109669,0.0,0.0,0.000764815277777683,0.0,0.0,0.0,0.0,0.0,0.0,6.62499999998604e-07,2.349236111109586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017843645833331358,0.0,0.0,0.0,0.0,0.0,0.0,0.0004052124999999629,0.0,0.0,0.0010981263888887702,0.00021384374999997027,5.588194444441857e-06,0.0,0.0,0.0,0.0033622201388885478,0.0006247611111109983,0.009217432638888166,0.0001106520833332953,0.0,0.0,0.0,0.0005883229166665988,0.0,0.0009591680555553882,0.0,0.0,1.1458333333269622e-07,0.0005553548611110543,0.0,0.0001518249999999741,1.9862499999990667e-05,0.0,1.9547916666663075e-05,0.0,0.0003266277777777339,0.00011254861111109479,7.814166666665222e-05,0.0,0.0,5.734027777776281e-05,0.0,0.0,0.0,0.0,0.0021016798611108714,0.0006936215277777194,0.0003986479166665951,6.895833333316522e-07,8.802083333327499e-06,0.0013650881944443454
15,0.0,0.00024533749999995706,0.0,0.0,0.0005291138888888276,0.0,0.0,0.0,0.0,0.004986640972221799,2.4236111111057095e-07,0.0,0.0,1.1993055555528345e-06,0.000386843055555531,4.139583333329829e-06,0.0005396090277777127,0.0,0.0,0.0,4.608819444442642e-05,0.0,0.0026297812499998514,0.0,0.0,0.0,0.0,0.0,0.0,0.00013886319444439285,0.0,0.0,0.0,0.0,0.0,0.0,0.0009227395833332077,0.0,0.00012391666666664678,0.0,0.0,0.0,0.0,0.0,0.0,0.0005815909722221837,0.0,0.0,0.00023679444444442538,0.0,0.0012727798611109492,0.0,0.0002566013888888715,0.0,0.0,0.0,0.003439277777777418,0.0002964576388888417,0.0,0.0,0.0,2.232986111110533e-05,0.0,0.0,0.0,0.0,0.0005014993055554844,0.0,0.0,0.0,2.9956249999985275e-05,1.6944444444395087e-07,0.0,0.00024272361111104572,0.0,0.0,0.0,1.5034722222213089e-06,0.0,0.0,0.0,0.0,0.0,0.00020094444444442613,0.0,0.0,7.082569444442349e-05,0.001303870833333182,6.035416666664714e-05,0.0
16,0.0,8.822638888887556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020088541666663258,0.0,0.0,0.0,0.0,0.0,1.742222222221547e-05,0.0,0.0,0.0,0.0,0.029724434027776404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4833333333314554e-06,0.0,1.731874999999001e-05,0.0,0.0002291562499999442,8.626458333331755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003197513888888502,4.1944444444287475e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.109097222221108e-05,0.0,0.0,0.00012284374999997164,0.0,0.0,0.0,0.0,0.0,0.0,0.001966388194444206,0.001606484722222081,0.0,0.0,0.0,0.0,0.0001035562499999666,0.0,7.898749999998017e-05,8.104166666660362e-06,0.0
17,0.0013004055555554735,0.0,0.00014340069444441204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.544444444438386e-06,0.009771007638888279,0.0,0.0,1.180555555535534e-08,0.0016517888888886848,0.0,0.00010863611111107415,0.0010577173611110938,0.0,0.0,0.0,0.0027881048611109135,8.87173611110977e-05,0.0,0.000322310416666637,0.0,8.402777777681712e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.9663194444437362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135138888888191e-05,0.0,7.168472222220847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.410833333332184e-05,0.0,0.000164472222222207,0.0,1.1291666666661568e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.8988888888882416e-05,0.00013155902777772937,0.0,0.0,0.0,1.6320138888881668e-05,5.701111111109825e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.747916666659073e-06
18,0.0,0.00023966736111108764,0.0,0.0,0.0,0.0,0.0,0.0,3.902777777773123e-07,0.0,0.0,0.0,0.0,0.0,8.309027777773833e-06,0.005144031944444147,8.576388888867667e-07,0.00035031736111103615,0.0,0.0,0.0,0.0,0.0,0.00017250069444442012,0.0,0.0013539444444443003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003128638888888263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004292361111110305,0.0,3.888888888883773e-06,1.388888888885652e-07,0.0,0.00011494652777775086,2.4305555555528515e-06,0.0,2.898749999999506e-05,4.0340277777768876e-05,0.0,0.0,0.00017604166666664668,0.0010803472222220012,4.513888888886264e-06,4.189305555554215e-05,0.0,0.0,0.00011131944444442877,0.0,0.0,0.00029944444444439985,0.0,0.0,3.372847222221272e-05,1.3191666666659705e-05,0.0,8.791666666664237e-05,2.4097222222209485e-05,0.0,0.0,0.0,0.0,0.0,5.590277777775802e-05,0.0,0.002383123611110873,0.0,0.0,0.0,0.0,8.999999999995308e-06,0.0,0.0,0.0,0.0
19,1.2499999999970867e-06,0.0,0.0,0.0,0.0005279374999999433,1.69444444442964e-07,0.0,0.0,0.0,0.0014088083333332095,0.017965531249998782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010229861111108857,0.0,6.05347222221633e-06,0.0017796541666665374,0.00015514444444443055,0.00020125277777776162,0.00010057708333331897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003749510416666282,0.0003740340277777104,3.3319444444421564e-06,0.0,0.005353953472221918,0.0,0.0,0.0,1.3819444444390032e-07,0.00033642013888885894,1.2673611111092677e-06,0.0,3.547986111110044e-05,1.881944444443315e-05,0.0,0.0,0.0,0.0,0.0007105166666666019,0.0,0.00022489166666663784,0.0,0.0,0.0,0.0,0.0006261874999999724,0.0,0.0,0.0,0.0,0.0,0.00034388888888886555,0.0,0.0,0.0,0.0,9.95180555555391e-05,0.0,0.0,0.0,1.0261805555550217e-05,2.277638888887829e-05,0.0,0.0,0.0,0.0003683333333333142,0.0,7.59027777777425e-05,0.0,0.0
20,0.0001322923611110739,0.0,0.00011645138888886446,0.0,0.0,0.0,0.00106696527777765,0.0,0.0,3.444930555554097e-05,0.008203920138888354,0.0,0.00011722361111109346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.812499999981326e-07,0.0,0.0,0.00010302916666664311,0.0,0.0006739652777777098,8.393749999998966e-05,1.0060416666659578e-05,0.0,0.0,0.0,0.0001868798611110847,0.0,0.0,0.0,0.0,0.0,0.0,0.014719083333332826,4.251388888884852e-06,0.010593059027777095,0.0,0.0,0.00021455833333329405,0.0,0.0004060340277777281,0.0011421652777776228,0.0002536062499999586,0.0,0.0,0.0,0.0,0.0,0.0008865659722220975,0.0013770013888887872,0.0,9.95173611110905e-05,0.0,0.0,0.000296199999999946,0.0,1.0436111111104355e-05,0.0,0.00033598888888880936,0.0,0.0,0.0,0.0,0.0,0.0,0.00041357986111103823,0.0001481527777777626,5.630555555549144e-06,0.0020221798611108543,0.0,8.511944444442291e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.856041666665806e-05,0.0,0.0,0.0,0.0004123937499999419,0.0,0.00014557430555554152
